Class,AP,Samples
0,,0.0
1,,0.0
2,,0.0
3,0.9767718633678848,1501.0
4,,0.0
5,0.9828794257855387,391.0
6,0.9300758240461225,692.0
7,,0.0
8,,0.0
9,,0.0
10,0.9945493180259695,1951.0
11,,0.0
12,,0.0
13,0.9540123837557211,3541.0
14,0.8636999258978275,421.0
15,,0.0
16,,0.0
17,0.9080006444170157,1561.0
18,0.9805119292026362,3121.0
19,,0.0
20,,0.0
21,0.9854631205528624,657.0
22,0.9951408423997639,4982.0
23,0.9990911204642701,3541.0
24,0.9914754744772919,1981.0
25,,0.0
26,0.9706565670900061,1801.0
27,,0.0
28,,0.0
29,,0.0
30,,0.0
31,0.9896739374866346,2941.0
