Class,AP
0,0.7232786879034686
1,0.9137060424498238
2,0.9216742767516655
3,0.8669484935806058
4,0.9870104102229738
5,0.9353615725183612
6,0.9153819155402706
7,0.8072455729177783
8,0.9911027705710168
9,0.9417052991688598
10,0.9130919009858323
11,0.9434048726831239
12,0.9739110661679039
13,0.8881988964792129
14,0.9290022343821756
15,0.9654771997939843
16,0.9783073438506228
17,0.9524749326599435
18,0.9753822005248748
19,0.9962914678446215
20,0.9094007977066603
21,0.939927401289543
22,0.9949267207311484
23,0.9566478043744103
24,0.8275381708056346
25,0.9416291493010474
26,0.979864814357363
27,0.9596167322351331
28,0.9935800769864097
