Dataset,Obs_Ratio,Delta,Num_Pairs,RW_ALL,RW_FREQ,RW_RARE,CARRW_ALL,CARRW_FREQ,CARRW_RARE,Gain_ALL,Gain_FREQ,Gain_RARE
ADL,0.25,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.25,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.25,3,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.25,4,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.5,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.5,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.5,3,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.5,4,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.75,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.75,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.75,3,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADL,0.75,4,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
