Dataset,Obs_Ratio,Delta,RW_ALL,RW_FREQ,RW_RARE,CARRW_ALL,CARRW_FREQ,CARRW_RARE,Gain_ALL,Gain_FREQ,Gain_RARE
ADL,0.25,1,0.1358,0.1358,0.0,0.1358,0.1358,0.0,0.0,0.0,0.0
ADL,0.25,2,0.1358,0.1358,0.0,0.1358,0.1358,0.0,0.0,0.0,0.0
ADL,0.25,3,0.1358,0.1358,0.0,0.1358,0.1358,0.0,0.0,0.0,0.0
ADL,0.25,4,0.1358,0.1358,0.0,0.1358,0.1358,0.0,0.0,0.0,0.0
ADL,0.5,1,0.1597,0.1597,0.0,0.1597,0.1597,0.0,0.0,0.0,0.0
ADL,0.5,2,0.1597,0.1597,0.0,0.1597,0.1597,0.0,0.0,0.0,0.0
ADL,0.5,3,0.1597,0.1597,0.0,0.1597,0.1597,0.0,0.0,0.0,0.0
ADL,0.5,4,0.1597,0.1597,0.0,0.1597,0.1597,0.0,0.0,0.0,0.0
ADL,0.75,1,0.1859,0.1859,0.0,0.1859,0.1859,0.0,0.0,0.0,0.0
ADL,0.75,2,0.1859,0.1859,0.0,0.1859,0.1859,0.0,0.0,0.0,0.0
ADL,0.75,3,0.1859,0.1859,0.0,0.1859,0.1859,0.0,0.0,0.0,0.0
ADL,0.75,4,0.1859,0.1859,0.0,0.1859,0.1859,0.0,0.0,0.0,0.0
