Dataset,Obs_Ratio,Delta,RW_ALL,RW_FREQ,RW_RARE,CARRW_ALL,CARRW_FREQ,CARRW_RARE,Gain_ALL,Gain_FREQ,Gain_RARE
EPIC-Kitchens,0.25,1,0.0431,0.0668,0.0215,0.0431,0.0668,0.0215,0.0,0.0,0.0
EPIC-Kitchens,0.25,2,0.0431,0.0668,0.0215,0.0431,0.0668,0.0215,0.0,0.0,0.0
EPIC-Kitchens,0.25,3,0.0431,0.0668,0.0215,0.0431,0.0668,0.0215,0.0,0.0,0.0
EPIC-Kitchens,0.25,4,0.0431,0.0668,0.0215,0.0431,0.0668,0.0215,0.0,0.0,0.0
EPIC-Kitchens,0.5,1,0.0605,0.0881,0.033,0.0605,0.0881,0.033,0.0,0.0,0.0
EPIC-Kitchens,0.5,2,0.0605,0.0881,0.033,0.0605,0.0881,0.033,0.0,0.0,0.0
EPIC-Kitchens,0.5,3,0.0605,0.0881,0.033,0.0605,0.0881,0.033,0.0,0.0,0.0
EPIC-Kitchens,0.5,4,0.0605,0.0881,0.033,0.0605,0.0881,0.033,0.0,0.0,0.0
EPIC-Kitchens,0.75,1,0.1154,0.1655,0.0752,0.1154,0.1655,0.0752,0.0,0.0,0.0
EPIC-Kitchens,0.75,2,0.1154,0.1655,0.0752,0.1154,0.1655,0.0752,0.0,0.0,0.0
EPIC-Kitchens,0.75,3,0.1154,0.1655,0.0752,0.1154,0.1655,0.0752,0.0,0.0,0.0
EPIC-Kitchens,0.75,4,0.1154,0.1655,0.0752,0.1154,0.1655,0.0752,0.0,0.0,0.0
